gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,7,22,0,2,0,19,39,121,34.0,19.0,19.0,19.0,0.0,4.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,59.0,89.0,69.0,69.0,59.0,49.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,56.0,29,69.0,1
0,7,9,0,2,0,19,39,121,59.0,0.0,0.0,39.0,0.0,0.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,69.0,79.0,69.0,79.0,49.0,59.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,76.0,29,69.0,1
0,7,12,0,2,0,19,39,121,29.0,4.0,14.0,39.0,4.0,4.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,69.0,59.0,79.0,69.0,59.0,79.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,80.0,29,69.0,1
0,7,14,0,3,0,19,39,121,29.0,9.0,19.0,9.0,9.0,19.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,49.0,59.0,69.0,69.0,59.0,59.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,60.0,29,59.0,1
0,7,17,0,2,0,19,39,121,49.0,0.0,29.0,9.0,0.0,9.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,39.0,89.0,69.0,39.0,59.0,39.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,62.0,29,59.0,0
0,7,29,0,2,0,19,39,121,34.0,14.0,24.0,9.0,4.0,9.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,69.0,59.0,69.0,39.0,59.0,69.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,66.0,29,59.0,1
0,7,24,0,2,0,19,39,121,49.0,0.0,24.0,9.0,0.0,14.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,69.0,59.0,79.0,89.0,79.0,79.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,63.0,29,69.0,1
0,7,14,0,2,0,19,39,121,99.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,19.0,14.0,14.0,14.0,59,79,79,79,69,49.0,59.0,59.0,79.0,99.0,79.0,89,19,79,89,9,9,49,9,49,59,89,9,99,99,89,79,9,31.0,29,59.0,1
0,14,22,2,2,1,19,49,121,34.0,19.0,19.0,19.0,0.0,4.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,49.0,69.0,79.0,39.0,59.0,29.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,64.0,39,59.0,0
0,14,9,2,2,1,19,49,121,59.0,0.0,0.0,39.0,0.0,0.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,79.0,49.0,59.0,59.0,89.0,59.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,59.0,39,69.0,0
0,14,9,2,0,0,19,49,121,18.0,17.0,18.0,17.0,13.0,11.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,49.0,79.0,89.0,59.0,29.0,39.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,54.0,39,59.0,0
0,14,12,2,2,1,19,49,121,29.0,4.0,14.0,39.0,4.0,4.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,69.0,89.0,69.0,59.0,49.0,69.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,39.0,39,69.0,1
0,14,14,2,3,0,19,49,121,29.0,9.0,19.0,9.0,9.0,19.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,59.0,79.0,69.0,89.0,69.0,79.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,65.0,39,79.0,0
0,14,17,2,2,1,19,49,121,49.0,0.0,29.0,9.0,0.0,9.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,79.0,69.0,79.0,29.0,59.0,19.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,86.0,39,59.0,0
0,14,29,2,2,1,19,49,121,34.0,14.0,24.0,9.0,4.0,9.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,69.0,49.0,89.0,59.0,69.0,89.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,79.0,39,79.0,1
0,14,22,2,2,1,19,49,121,33.0,11.0,11.0,11.0,11.0,22.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,49.0,79.0,69.0,49.0,89.0,49.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,53.0,39,49.0,0
0,14,24,2,2,1,19,49,121,49.0,0.0,24.0,9.0,0.0,14.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,69.0,59.0,79.0,89.0,39.0,49.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,55.0,39,49.0,1
0,14,14,2,2,1,19,49,121,99.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,24.0,19.0,0.0,4.0,69,49,99,79,29,59.0,69.0,79.0,69.0,89.0,79.0,29,19,69,99,79,59,29,49,79,99,9,89,79,69,79,29,9,69.0,39,79.0,1
0,12,22,2,2,1,9,9,121,34.0,19.0,19.0,19.0,0.0,4.0,19.0,19.0,19.0,19.0,9.0,9.0,69,79,89,69,79,39.0,99.0,79.0,49.0,79.0,69.0,9,9,59,69,59,69,69,49,69,69,69,89,69,79,69,9,79,40.0,9,59.0,0
0,12,9,2,2,1,9,9,121,59.0,0.0,0.0,39.0,0.0,0.0,19.0,19.0,19.0,19.0,9.0,9.0,69,79,89,69,79,79.0,69.0,79.0,99.0,69.0,79.0,9,9,59,69,59,69,69,49,69,69,69,89,69,79,69,9,79,40.0,9,79.0,0
0,12,9,2,0,0,9,9,121,18.0,17.0,18.0,17.0,13.0,11.0,19.0,19.0,19.0,19.0,9.0,9.0,69,79,89,69,79,39.0,69.0,79.0,79.0,59.0,69.0,9,9,59,69,59,69,69,49,69,69,69,89,69,79,69,9,79,52.0,9,39.0,0
0,12,12,2,2,1,9,9,121,29.0,4.0,14.0,39.0,4.0,4.0,19.0,19.0,19.0,19.0,9.0,9.0,69,79,89,69,79,79.0,99.0,69.0,99.0,69.0,99.0,9,9,59,69,59,69,69,49,69,69,69,89,69,79,69,9,79,40.0,9,79.0,1
0,12,14,2,3,0,9,9,121,29.0,9.0,19.0,9.0,9.0,19.0,19.0,19.0,19.0,19.0,9.0,9.0,69,79,89,69,79,59.0,89.0,79.0,89.0,79.0,89.0,9,9,59,69,59,69,69,49,69,69,69,89,69,79,69,9,79,60.0,9,69.0,0
