gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,19,17,3,2,0,9,9,121,29.0,0.0,29.0,29.0,9.0,0.0,29.0,9.0,19.0,19.0,9.0,9.0,89,89,89,89,89,59.0,79.0,79.0,69.0,69.0,79.0,79,49,69,79,59,59,69,69,69,69,29,19,89,69,89,89,19,60.0,49,69.0,1
0,32,22,2,2,1,89,49,7,29.0,19.0,14.0,14.0,7.0,11.0,11.0,24.0,24.0,7.0,14.0,14.0,69,99,59,79,79,89.0,59.0,59.0,59.0,49.0,29.0,89,19,99,89,79,79,79,69,69,89,89,89,89,89,89,49,69,38.0,59,49.0,0
1,22,24,0,2,0,9,9,69,24.0,19.0,19.0,24.0,0.0,9.0,49.0,9.0,9.0,9.0,9.0,9.0,89,89,89,89,89,99.0,99.0,99.0,99.0,99.0,99.0,89,59,59,59,39,39,79,59,59,79,9,49,29,29,69,19,69,59.0,49,99.0,1
0,9,24,2,2,1,39,49,192,24.0,14.0,24.0,14.0,0.0,19.0,19.0,21.0,17.0,14.0,14.0,9.0,59,89,79,69,79,59.0,79.0,69.0,39.0,69.0,19.0,79,89,69,69,69,59,19,19,69,69,69,49,69,59,79,89,49,53.0,69,59.0,1
1,22,22,2,0,0,19,29,23,9.0,19.0,19.0,14.0,19.0,14.0,18.0,12.0,17.0,17.0,9.0,21.0,69,79,79,79,59,49.0,69.0,89.0,79.0,79.0,79.0,89,79,59,79,59,29,59,9,89,59,29,19,69,79,99,49,9,67.0,59,79.0,0
0,22,14,2,2,1,29,19,130,9.0,19.0,34.0,19.0,0.0,14.0,24.0,14.0,19.0,19.0,19.0,0.0,79,89,79,89,99,89.0,89.0,79.0,99.0,79.0,69.0,19,19,19,99,79,79,69,79,89,79,9,89,79,79,89,39,19,69.0,49,79.0,0
1,27,14,3,2,0,29,9,142,49.0,19.0,9.0,4.0,9.0,4.0,74.0,4.0,4.0,9.0,0.0,4.0,89,79,89,89,89,79.0,89.0,89.0,79.0,79.0,79.0,69,49,79,79,69,59,29,49,89,79,19,29,39,49,89,79,19,72.0,89,79.0,0
0,32,12,1,2,0,19,19,180,25.0,17.0,15.0,20.0,10.0,10.0,14.0,16.0,20.0,18.0,16.0,12.0,79,79,79,79,79,69.0,69.0,69.0,69.0,69.0,69.0,49,49,49,89,69,69,69,69,89,89,49,69,69,69,89,49,69,51.0,59,69.0,1
0,19,17,0,0,1,79,79,169,14.0,9.0,29.0,9.0,4.0,29.0,9.0,19.0,14.0,19.0,19.0,14.0,69,89,79,69,69,49.0,49.0,49.0,49.0,49.0,49.0,19,29,19,99,99,99,19,9,69,39,39,89,89,79,79,29,29,89.0,49,49.0,0
1,22,22,0,2,0,59,9,26,15.0,19.0,19.0,19.0,13.0,13.0,15.0,17.0,17.0,17.0,17.0,13.0,69,89,69,89,89,69.0,79.0,79.0,79.0,49.0,49.0,49,59,29,69,59,29,39,29,69,79,69,79,79,39,39,39,9,39.0,59,69.0,1
1,12,17,2,1,0,59,79,46,11.0,13.0,19.0,19.0,19.0,17.0,17.0,21.0,17.0,21.0,14.0,8.0,79,99,99,89,79,79.0,89.0,79.0,69.0,79.0,59.0,89,29,99,79,59,69,69,39,69,29,9,89,59,39,59,69,9,67.0,59,69.0,1
1,17,42,2,0,0,9,79,41,14.0,14.0,29.0,14.0,14.0,9.0,16.0,17.0,27.0,26.0,4.0,4.0,59,89,89,99,69,59.0,79.0,79.0,39.0,49.0,39.0,19,59,19,59,69,69,69,9,9,99,29,69,49,59,79,9,9,87.0,69,39.0,1
0,7,7,2,2,1,79,99,61,19.0,14.0,19.0,14.0,11.0,17.0,19.0,9.0,19.0,19.0,19.0,9.0,79,69,79,79,79,99.0,99.0,99.0,99.0,99.0,99.0,59,79,59,89,79,59,29,49,79,79,49,59,49,59,49,89,29,73.0,59,99.0,1
0,22,37,2,2,1,29,29,150,19.0,9.0,19.0,14.0,14.0,19.0,9.0,19.0,19.0,19.0,9.0,19.0,79,89,89,89,69,89.0,89.0,89.0,89.0,89.0,89.0,49,79,49,89,89,89,69,9,39,89,39,89,89,79,79,39,89,79.0,49,89.0,1
1,17,19,2,2,1,9,49,17,18.0,18.0,18.0,18.0,4.0,18.0,29.0,29.0,39.0,0.0,0.0,0.0,69,89,39,99,49,69.0,79.0,79.0,69.0,59.0,49.0,19,39,39,79,79,79,69,49,19,59,49,69,79,89,89,69,69,82.0,49,79.0,0
